,id,tweet,label,user,cleaned_tweets
0,929479629840281601,I am Muhajir .. Aur mere lye sab se Pehly Pakistan he .. agr 10 lakh Altaf Jese leaders bh is zameen ki behurmati kren un sbko sar e aam phansi Deni chahye .. Proud to be a #Muhajir and #Pakistani,Normal Speech,1615850780,i am muhajir  aur mere lye sab se pehly pakistan he  agr lakh altaf jese leaders bh is zameen ki behurmati kren un sbko sar e aam phansi deni chahye  proud to be a and
1,929467030406758400,"@drshrishyoga @SahilThoughts_ Doctor 👨‍⚕️ sab sahi me ke PhD (in hate politics) wale. Bhai padhe likhe ho fir kyu ye sab baate karte ho. Tum bas bowling 🎳 khelo, aur maje lo. https://t.co/fk1qUbQstw",Normal Speech,903075788756590593,doctor sab sahi me ke phd in hate politics wale bhai padhe likhe ho fir kyu ye sab baate karte ho tum bas bowling khelo aur maje lo
2,929460995981901825,"@yugpurushg Sarkar banne ke bad Hindu hit me ek bhi faisla Jo bjp ke dwara liya gaya ho,bjp ko  gay,gobar,mandir,masjid aur nafrat faila kar vot chahiye",Hate Speech,881096476616781825,sarkar banne ke bad hindu hit me ek bhi faisla jo bjp ke dwara liya gaya hobjp ko gaygobarmandirmasjid aur nafrat faila kar vot chahiye
3,929460432498233344,Hate it jab test ata ho phr bh acha na ho -.-,Hate Speech,3268145264,hate it jab test ata ho phr bh acha na ho --
4,929459222697431040,@ashokepandit Ek dil ek jaan akal ke imitihaan kal KP ke rape aur sawing between two legs after rape honge justified due to cinematic liberty aaj toh Rajput ki ho gayi shaan urdu ki gulaam,Normal Speech,763212669524467712,ek dil ek jaan akal ke imitihaan kal kp ke rape aur sawing between two legs after rape honge justified due to cinematic liberty aaj toh rajput ki ho gayi shaan urdu ki gulaam
5,929458052008263680,"@chintskap Sir, jyada sentimental mat ho jao peene ke baad.Jiss desh ki buniyad sirf Hindu hatred pe hui ho woh kabhi nahi sudrega. Aap POK de do yaa phir Kabootar udao, jawab sirf goliyon se milega....",Hate Speech,896721858439118848,sir jyada sentimental mat ho jao peene ke baadjiss desh ki buniyad sirf hindu hatred pe hui ho woh kabhi nahi sudrega aap pok de do yaa phir kabootar udao jawab sirf goliyon se milega
6,929453273362206721,@justchill86 @SeemaSwati262 @madmadyk I am very sorry to say saaf dil shilpa ke fans hiten ke dil mein kya hai woh bhi samjhte hain hadh hoti hai nafrat ki bhi,Normal Speech,119401534,i am very sorry to say saaf dil shilpa ke fans hiten ke dil mein kya hai woh bhi samjhte hain hadh hoti hai nafrat ki bhi
7,929443767131684864,"@RealQueenSimran Madam,Bahut sochsamajhkr Mai ESS tarq pe purey42mahino mei pahucha hoon k Asli wajah ""MUSLIM Hatred""hai Jo kabi,Partition,RamTemple,GauMata,BharatMaataKiJai, VandeMatram, Raastragan, Pak Premi,Gaddaar,Bachche jyada ,5Bibiya25Bachche k safar tai karte Huey TAJMAHAL p jake atka hai",Normal Speech,876886531406831616,madambahut sochsamajhkr mai ess tarq pe pureymahino mei pahucha hoon k asli wajah muslim hatredhai jo kabipartitionramtemplegaumatabharatmaatakijai vandematram raastragan pak premigaddaarbachche jyada bibiyabachche k safar tai karte huey tajmahal p jake atka hai
8,929443297961136129,"@rashisingh02 Ha😂😂 rem  ""😦"" emoji I hate this emoji! Mujhe nagini ki hi yaad aati Hai😂😂",Normal Speech,712287612938092544,ha rem  emoji i hate this emoji! mujhe nagini ki hi yaad aati hai
9,929439006470918150,"@Wikoo_KhAn @SMMuteeb @SyedHaider9087 @Babar_Sattar Ladla wo hay jo fard jurm kay bad bhi girftar nahi hota, money trail nahi deta aur saza nahi milti, 14 murder karta hay aur phansi nahi lagti.",Normal Speech,1452232537,ladla wo hay jo fard jurm kay bad bhi girftar nahi hota money trail nahi deta aur saza nahi milti murder karta hay aur phansi nahi lagti
10,929437933471281152,@Sharmil68670275 @IndiaToday aur ye barun ka comeback show tha. koi q nahi dekhna chahega? lekin fir b nahi dekh paye... mai shivani ko q hate karu? muze uski acting nahi achchi lagi. jo muze laga wo maine kaha. wo mera opinion hai.,Normal Speech,928333319946637312,aur ye barun ka comeback show tha koi q nahi dekhna chahega? lekin fir b nahi dekh paye mai shivani ko q hate karu? muze uski acting nahi achchi lagi jo muze laga wo maine kaha wo mera opinion hai
11,929437528926560256,Sir ji ab ye possible nahi hai bahut nafrat hai dono or ab ek hi rasta hai sarhad ke lakir ko mita kar hi ye khatam ho sakta hai jinna sahab to mar gaye or neharu ji bhi ab fir se ek kartay hai dono mulk ko @chintskap akhand bharat ek bharat https://t.co/2Mv6cfVffc,Normal Speech,143763417,sir ji ab ye possible nahi hai bahut nafrat hai dono or ab ek hi rasta hai sarhad ke lakir ko mita kar hi ye khatam ho sakta hai jinna sahab to mar gaye or neharu ji bhi ab fir se ek kartay hai dono mulk ko akhand bharat ek bharat
12,929431275357716480,@BiggBossNewz Achha bta diya hum n show hi nhi dekha tha. Khbri krta kuch ni sirf mAA bnta h kr hina ko hate.,Normal Speech,2566436641,achha bta diya hum n show hi nhi dekha tha khbri krta kuch ni sirf maa bnta h kr hina ko hate
13,929429959713722368,"@SarwarANaqvi Karachi say agencies panjabi, pathano ko qatal kerkay onki lashain gaoon bhaijti hain takey mohajiro kaykhilaf nafrat paida ho",Hate Speech,607225379,karachi say agencies panjabi pathano ko qatal kerkay onki lashain gaoon bhaijti hain takey mohajiro kaykhilaf nafrat paida ho
14,929425547024674816,@GenuineShanatic Haa bhai. Ye chutiye log ki hatred apni liye milan ki bela ban k aayi hai. Lets screw this haters!! @addiadn1989 #WeSupportPadmavati,Hate Speech,523595918,haa bhai ye chutiye log ki hatred apni liye milan ki bela ban k aayi hai lets screw this haters!!
15,929425304992358400,@BiggBossNewz Abe bigg boss show me baki contestants bhi hai un se related news deta nhi...sirf sari updates hina se related deta hai...wo bhi hate wali...khabari hai bakri chabar chabar karta rehta hina k bare me,Normal Speech,870604225981677568,abe bigg boss show me baki contestants bhi hai un se related news deta nhisirf sari updates hina se related deta haiwo bhi hate walikhabari hai bakri chabar chabar karta rehta hina k bare me
16,929423187523330050,Stone Miracle of Hazrat Imam Hussain (RA) | Wo Pathar Jis Se Abhi Tak Khoon Behta Hai: https://t.co/0WeL8pZeXC via @YouTube,Normal Speech,924071851365666817,stone miracle of hazrat imam hussain ra | wo pathar jis se abhi tak khoon behta hai via
17,929422849814573056,@Fatima_Arya @SabkiBhabhi @SushmaAnand89 Pappu ka ye saja phansi se kam nahi,Normal Speech,926030721994461184,pappu ka ye saja phansi se kam nahi
18,929419758407241728,@OvaisWarraich Sir phansi nahi. .. sirf looted money wapas chaiya,Normal Speech,355108318,sir phansi nahi  sirf looted money wapas chaiya
19,929419055995404288,"@Atheist_Krishna Bhai, ye log honour killing mein vishwas rakhne walo me se hain, khud dusri ki beheno ko din raat chedege, kisine inki behen pe tippani bhi kardi toh murder vegere ki dhamki dete hain",Hate Speech,873872389708275712,bhai ye log honour killing mein vishwas rakhne walo me se hain khud dusri ki beheno ko din raat chedege kisine inki behen pe tippani bhi kardi toh murder vegere ki dhamki dete hain
20,929419055802540037,@RubikaLiyaquat @rehankhanrmp @ZeeNews Aap log kabhi America ki dalali karto kabhi nafrat,Normal Speech,908298131644837888,aap log kabhi america ki dalali karto kabhi nafrat
